,team,shots_on_target_per90,shots_on_target_pct,goals_per_shot_on_target,into_penalty_area,pct_touches_att_pen_area,xg_per90,average_shot_distance,clearances,blocked_passes,blocked_shots,dribble_tackles_pct,tackles_interceptions,errors,miscontrols,passes_pct_short,passes_pct_medium,passes_pct_long,passes_total_distance,aerials_won_pct,dispossessed
10,England,0.01181111111111111,0.3013,0.2815,0.1368421052631579,0.10562893220291052,0.0625874125874126,0.2227467811158798,0.07432432432432433,0.14583333333333331,0.09285714285714285,0.3633,0.14714285714285713,0.0,0.14047619047619048,0.9253,0.8856999999999999,0.59965,0.19976654004431782,0.40004999999999996,0.06041666666666666
11,France,0.006101851851851851,0.15683333333333332,0.12375000000000001,0.15789473684210525,0.09252182077268944,0.04880536130536131,0.20055436337625177,0.11599099099099099,0.17013888888888887,0.13095238095238096,0.398625,0.2642857142857143,0.013888888888888888,0.19246031746031744,0.8806666666666666,0.8684583333333333,0.53875,0.1953281629207555,0.506625,0.11805555555555557
12,Germany,0.01962222222222222,0.2473,0.0795,0.1631578947368421,0.1958540623592356,0.13216783216783218,0.22210300429184548,0.032432432432432434,0.14166666666666666,0.05,0.42335,0.10142857142857142,0.049999999999999996,0.10476190476190476,0.8522000000000001,0.8518000000000001,0.6236499999999999,0.11028410889522,0.32755,0.08541666666666667
13,Ghana,0.006644444444444444,0.21665,0.175,0.042105263157894736,0.11557160675745617,0.04388111888111888,0.25718884120171676,0.1135135135135135,0.09583333333333333,0.1,0.5625,0.10428571428571429,0.016666666666666666,0.10952380952380951,0.8076000000000001,0.7712,0.41555,0.06589110477999367,0.31805,0.07083333333333333
14,IR Iran,0.005640211640211641,0.13490476190476192,0.14285714285714285,0.05012531328320802,0.09319262669607531,0.0417915417915418,0.2688534641324341,0.07850707850707851,0.11507936507936507,0.05442176870748299,0.23471428571428574,0.12925170068027209,0.0,0.08616780045351473,0.7793333333333333,0.7871428571428571,0.3279047619047619,0.05331705331705332,0.33666666666666667,0.037698412698412696
15,Japan,0.0069898989898989905,0.25,0.14409090909090908,0.07655502392344497,0.13075444305494133,0.04942784488239034,0.20347249317206398,0.12407862407862408,0.16287878787878787,0.12337662337662336,0.37450000000000006,0.13506493506493508,0.0303030303030303,0.12987012987012986,0.8301818181818181,0.7460909090909091,0.41204545454545455,0.08302037468704136,0.4301818181818182,0.06818181818181818
16,Korea Republic,0.01233862433862434,0.21852380952380954,0.12380952380952381,0.12531328320802004,0.10506447492677327,0.03862803862803863,0.2989985693848355,0.08494208494208494,0.09126984126984126,0.05442176870748299,0.4694285714285715,0.12244897959183675,0.015873015873015872,0.10657596371882086,0.8353333333333334,0.8303333333333334,0.5584285714285715,0.11357949320912285,0.3913333333333333,0.051587301587301584
17,Mexico,0.00839153439153439,0.20819047619047618,0.03571428571428571,0.07268170426065163,0.09497437226681653,0.051615051615051616,0.23247496423462088,0.06177606177606178,0.11507936507936507,0.013605442176870748,0.49404761904761907,0.10204081632653061,0.0,0.11337868480725624,0.797952380952381,0.7099047619047619,0.4281428571428571,0.07487300079892673,0.3982857142857143,0.05952380952380952
18,Morocco,0.006871111111111111,0.2304,0.14679999999999999,0.0968421052631579,0.10804867465566144,0.058321678321678325,0.2513304721030043,0.17621621621621622,0.22,0.11428571428571427,0.34636,0.22514285714285712,0.026666666666666665,0.24,0.86032,0.7168800000000001,0.44823999999999997,0.1221747388414055,0.36916,0.08833333333333333
19,Netherlands,0.007005291005291005,0.23809523809523808,0.27142857142857146,0.08521303258145363,0.0919925642170128,0.037129537129537135,0.2066217044757817,0.12483912483912483,0.15873015873015872,0.12244897959183672,0.37657142857142856,0.19455782312925168,0.015873015873015872,0.1655328798185941,0.8371428571428571,0.8072857142857143,0.5700952380952381,0.15769381510122252,0.4459047619047619,0.08730158730158731
